RollNo,Name,FatherName,Class,Section,University
200133,Haris Rauf,Rauf Ahmed,BS-SE,B,Air University
200134,Anam Zahra,Syed Sajid Hussain,BS-SE,B,Air University
200135,Shahzaib Khan,Jehanzeb Khan,BS-SE,B,Air University
200136,Kinza Hashmi,Hashmi Nadeem,BS-SE,B,Air University
200137,Nabeel Shaukat,Shaukat Ali,BS-SE,B,Air University
200138,Saba Qamar,Qamar Zaman,BS-SE,B,Air University
200139,Adeel Chaudhry,Chaudhry Anwar,BS-SE,B,Air University
200140,Esha Ansari,Ansari Khurram,BS-SE,B,Air University
200141,Farhan Saeed,Saeed Anwar,BS-IT,A,Air University
200142,Momina Mustehsan,Mustehsan Bilal,BS-IT,A,Air University
200143,Asim Azhar,Azhar Hussain,BS-IT,A,Air University
200144,Hania Amir,Amir Mehmood,BS-IT,A,Air University
200145,Sheheryar Munawar,Munawar Siddiqui,BS-IT,A,Air University
200146,Sajal Aly,Syed Aly Ali,BS-IT,A,Air University
200147,Ahad Raza Mir,Asif Raza Mir,BS-IT,A,Air University
200148,Yumna Zaidi,Zaidi Ahmed,BS-IT,A,Air University
200149,Wahaj Ali,Ali Ahmed,BS-IT,A,Air University
200150,Ayeza Khan,Riaz Khan,BS-IT,A,Air University
200151,Danish Taimoor,Taimoor Ali,BS-IT,B,Air University
200152,Sana Javed,Javed Iqbal,BS-IT,B,Air University
200153,Feroze Khan,Zain Khan,BS-IT,B,Air University
200154,Alizeh Shah,Shah Khalid,BS-IT,B,Air University
200155,Imran Ashraf,Ashraf Gill,BS-IT,B,Air University
200156,Urwa Hocane,Mushtaq Hussain,BS-IT,B,Air University
200157,Mawra Hocane,Mushtaq Hussain,BS-IT,B,Air University
200158,Farhan Ali,Ali Raza,BS-IT,B,Air University
200159,Iqra Aziz,Aziz Hussain,BS-IT,B,Air University
200160,Yasir Hussain,Hussain Ahmed,BS-IT,B,Air University
200161,Arsalan Naseer,Naseeruddin,BS-CY,A,Air University
200162,Aimen Khan,Mubeen Khan,BS-CY,A,Air University
200163,Minal Khan,Mubeen Khan,BS-CY,A,Air University
200164,Ahsan Khan,Akram Khan,BS-CY,A,Air University
200165,Ramsha Khan,Saleem Khan,BS-CY,A,Air University
200166,Bilal Abbas,Abbas Khan,BS-CY,A,Air University
200167,Yashma Gill,Gill Mehmood,BS-CY,A,Air University
200168,Zahid Ahmed,Ahmed Ali,BS-CY,A,Air University
200169,Sarah Khan,Zafar Khan,BS-CY,A,Air University
200170,Falak Shabir,Shabir Ahmed,BS-CY,A,Air University
200171,Kubra Khan,Khan Mohammad,BS-CY,B,Air University
200172,Gohar Rasheed,Rasheed Ahmed,BS-CY,B,Air University
200173,Hira Mani,Mani Salman,BS-CY,B,Air University
200174,Mani Salman,Salman Saqib,BS-CY,B,Air University
200175,Affan Waheed,Waheeduddin,BS-CY,B,Air University
200176,Neelum Muneer,Muneer Ahmed,BS-CY,B,Air University
200177,Sami Khan,Mansoor Khan,BS-CY,B,Air University
200178,Sumbul Iqbal,Iqbal Khan,BS-CY,B,Air University
200179,Muneeb Butt,Butt Bashir,BS-CY,B,Air University
200180,Aiman Muneeb,Muneeb Butt,BS-CY,B,Air University
200181,Shahroz Sabzwari,Behroze Sabzwari,BS-AI,A,Air University
200182,Sadaf Kanwal,Kanwal Hussain,BS-AI,A,Air University
200183,Shehroz Khan,Sadaqat Khan,BS-AI,A,Air University
200184,Syra Yousuf,Yousuf Khan,BS-AI,A,Air University
200185,Shahzad Sheikh,Javed Sheikh,BS-AI,A,Air University
200186,Momal Sheikh,Javed Sheikh,BS-AI,A,Air University
200187,Asad Siddiqui,Siddiqui Ahmed,BS-AI,A,Air University
200188,Zara Noor,Noor Abbas,BS-AI,A,Air University
200189,Bilal Qureshi,Qureshi Ali,BS-AI,A,Air University
200190,Uroosa Qureshi,Qureshi Bilal,BS-AI,A,Air University
200191,Agha Ali,Ali Abbas,BS-AI,B,Air University
200192,Hina Altaf,Altaf Hussain,BS-AI,B,Air University
200193,Ali Ansari,Ansari Mehmood,BS-AI,B,Air University
200194,Saboor Aly,Aly Hussain,BS-AI,B,Air University
200195,Sajal Ali,Ali Raza,BS-AI,B,Air University
200196,Hamza Ali,Ali Abbasi,BS-AI,B,Air University
200197,Naimal Khawar,Khawar Khan,BS-AI,B,Air University
200198,Usman Mukhtar,Mukhtar Ahmed,BS-AI,B,Air University
200199,Zunaira Maham,Maham Ali,BS-AI,B,Air University
200200,Aftab Iqbal,Iqbal Ahmed,BS-AI,B,Air University
